课程编码,课程中英文名称,
,,
13110081,"思想道德与法治
Ideological and Moral Cultivation & Legal Basis",
13110111,"中国近现代史纲要
Outline of Modern Chinese History",
13110021,"马克思主义基本原理
Basic Principle of Marxism",
13110035,"习近平新时代中国特色社会主义思想概论
Introduction to Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era",
13110030,"毛泽东思想和中国特色社会主义理论体系概论
The MAO zedong thought and the Chinese characteristic socialism theory system introduction",
13110131,"马克思主义中国化进程与青年学生使命担当
The Process of Sinicization of Marxism and the Mission of Young Students",
13110123,"形势与政策I
Situation and Policy I",
13110124,"形势与政策II
Situation and Policy II",
13110125,"形势与政策III
Situation and Policy III",
13110126,"形势与政策IV
Situation and Policy IV",
13110127,"形势与政策V
Situation and Policy V",
13110128,"形势与政策VI
Situation and Policy VI",
13110129,"形势与政策VII
Situation and Policy VII",
13110130,"形势与政策VIII
Situation and Policy VIII",
30190001,"大学英语I
College English I",
30190002,"大学英语II
College English II",
30190003,"大学英语III
College English III",
30190004,"大学英语IV
College English IV",
77190001,"体育与健康教育I
Sports and Health Education I",
77190002,"体育与健康教育II
Sports and Health Education II",
77190003,"体育与健康教育III
Sports and Health Education III",
77190004,"体育与健康教育IV
Sports and Health Education IV",
55110051,"军事理论
Military Theory",
13110132,"劳动教育
Labor Education",
88190004,"计算机基础应用 
Fundamentals of College Computer",
44110041,"大学生职业发展与就业指导之一生涯规划
Career Development of College Students",
44110042,"大学生职业发展与就业指导之一就业指导
Employment Guidance of College Students",
99110034,"大学生心理健康教育I
Mental Health Education for College Students I",
99110035,"大学生心理健康教育Ⅱ
Mental Health Education for College Students II",
17110041,"创新创业理论与实务
Innovation Entrepreneurship Theory and Practice",
2190003,"大学语文
College Chinese",
88190003,"计算机科学前沿
Frontiers of Computer Science",
7190120,"高等数学I
Higher Mathematics I",
7190130,"高等数学Ⅱ
HigherMathematics Ⅱ",
11190021,"大学物理A（I）
College Physics A(I)",
11190022,"大学物理A（II）
College Physics A(II)",
11190170,"大学物理实验A
College Physics Experiment",
12123600,"普通化学及实验
General Chemistry and Experiment",
9190010,"普通生物学及实验
General Biology and Experiment",
11111410,"普通地理学及实验
General Geography and Experiment",
11113020,"科技活动与科技制作
Scientific and Technical Creative Activity",
11111810,"科学教育与创新教育概论
Introduction to Science Education and Innovation Education",
11111990,"探究科学
Science as Inquiry",
11111980,"探究科技
Technology as Inquiry",
11113081,"创新创造能力训练I
Innovation Ability Training I",
11114080,"创新创造能力训练II
Innovation Ability Training II",
11116060,"STEM教育与创客教育
STEM Education and Maker Education",
11116070,"教育机器人
Educational Robot",
11116080,"研学旅游方法与实践
Study Tourism Methods and Practices",
11116010,"科技场馆科普能力训练
The Science Popularization Ability Training in Science and Technology Venue",
11116020,"科普基地科普能力训练
The Science Popularization Ability Training in Science Popularization Base",
11116030,"CAD制图理论与实践
Theory and Practice of CAD Drawing",
11191003,"程序设计与应用
Program design and application",
11199000,"科学技术教育理论与实践
Theory and Practice of Science and Technology Education",
11194260,"自然科学概论
Introduction to Natural Science",
11191050,"科技英语
Scientific English",
11196010,"数字电路理论与实践
Digital circuit theory and Practice",
11196021,"科学前沿专题讲座
Scientific Frontier Seminar",
11196070,"航空模型训练
Aviation Model Training",
25100011,"教育学基础
Fundamentals of Pedagogy",
1110002,"儿童发展心理学
Developmental Psychology of Children",
25100030,"教师职业道德
Professional Ethics of Teachers",
25100040,"教育政策法规
The Policies and Regulations of Teachers",
11117000,"小学德育与班级管理
Moral Education and Class Management of Primary School",
11117201,"小学科学课程标准与教材研究
Primary School Science Curriculum Standards and Teaching Materials Research",
11117300,"小学科学学科教学设计
Primary School Science Teaching Design",
25100060,"教师语言
Teachers’Oral Expression",
25100070,"三笔字
Three Kinds of Chinese Handwriting",
25100080,"现代教育技术应用
Application of Modern Educational Technology",
11117400,"小学科学教学技能训练（含微格训练）
Primary School Science Teaching Skills Training",
11117500,"小学教育科研方法与实务
Research Methods and Practice of Primary Education",
11117600,"小学科学教育测量与评价
Measurement and Evaluation of Primary Science Education",
11117700,"科学实验教学设计及创意科学教具DIY
Scientific Experiment Teaching Design and Creative Science Teaching AIDS DIY",
11117800,"科学普及活动设计与指导
Design and Guidance of Science Popularization Activities",
11117900,"教育与科学哲学
Philosophy of Education and Science",
11190800,"数字化科学实验教学设计
Digital Science Experiments",
11190700,"科普剧表演活动设计与指导
Design and Guidance of Popular Science Drama Performance Activities",
11190600,"青少年科技创新教育理论与实践
Theory and Practice of Youth Science and Technology Innovation Education",
11190500,"小学综合实践活动设计与指导
Design and Guidance of Comprehensive Practical Activities in Primary Schools",
11190400,"科技教育资源开发与应用
Development and Application of Science and Technology Education Resources",
55110052,"军事技能
Military Training",
11118341,"劳动与社会实践I
Labor and Social Practice I",
11118342,"劳动与社会实践II
Labor and Social Practice II",
11118343,"劳动与社会实践III
Labor and Social Practice III",
11118344,"劳动与社会实践IV
Labor and Social Practice IV",
11118345,"劳动与社会实践V
Labor and Social Practice V",
11118346,"劳动与社会实践VI
Labor and Social Practice VI",
17110042,"创新创业实践
Innovative Business Practices",
11118371,"教育见习I
Educational Probation I",
11118372,"教育见习II
Educational Probation II",
11118373,"教育见习III
Educational Probation III",
100010,"教育实习
Graduation Practice",
11110070,"毕业论文
Graduation Thesis",
