课程编码,课程名称
13110111,"中国近现代史纲要
Outline of Modern Chinese History"
55110053,"国家安全教育
National Security Education"
7719023A,"体育与健康教育Ⅰ
Sports and Health Education I"
13110134,"劳动教育
Labor Education"
99110037,"大学生心理健康教育Ⅰ
Mental Health Education for College Students Ⅰ"
13110123,"形势与政策Ⅰ
Situation and Policy Ⅰ"
13110081,"思想道德与法治
Ideological and Moral &  Legal Governance"
55110051,"军事理论
Military Theory"
7719023B,"体育与健康教育Ⅱ
Sports and Health Education Ⅱ"
99110038,"大学生心理健康教育Ⅱ
Mental Health Education for College Students Ⅱ"
13110124,"形势与政策Ⅱ
Situation and Policy Ⅱ"
13110021,"马克思主义基本原理概论
Basic Principle of Marxism"
13110030,"毛泽东思想和中国特色社会主义理论体系概论
Mao Zedong Thought and Introduction to Theoretical System  of  Socialism with Chinese Characteristics"
7719023C,"体育与健康教育Ⅲ
Sports and Health Education Ⅲ"
13110125,"形势与政策Ⅲ
Situation and Policy Ⅲ"
100040,"劳动实践
Labour Practices"
13110035,"习近平新时代中国特色社会主义思想概论
Introduction to Xi Jinping’s Thought on Socialism with Chinese Characteristics for a New Era"
7719023D,"体育与健康教育Ⅳ
Sports and Health Education Ⅳ"
13110126,"形势与政策Ⅳ
Situation and Policy Ⅳ"
7719023E,"体育与健康教育Ⅴ
Sports and Health Education Ⅴ"
13110127,"形势与政策Ⅴ
Situation and Policy Ⅴ"
13110128,"形势与政策Ⅵ
Situation and Policy Ⅵ"
13110129,"形势与政策Ⅶ
Situation and Policy Ⅶ"
13110130,"形势与政策Ⅷ
Situation and Policy Ⅷ"
40190001,"大学英语Ⅰ
College English I"
88190004,"计算机基础应用
Fundamentals of Computer Application"
44110043,"职业生涯与发展规划
Career and Development Programming"
100050,"红色校史与入学教育
Admission Education"
40190002,"大学英语Ⅱ
College English  Ⅱ"
17110041,"创新创业理论与实务
Innovation Entrepreneurship Theory and Practice"
40190003,"大学英语Ⅲ
College English Ⅲ"
40190004,"大学英语Ⅳ
College English Ⅳ"
44110044,"就业指导
Career Guidance"
2190003,"大学语文
College Chinese"
88190006,"人工智能基础素养
Basic Literacy of Artificial Intelligence"
7141212,"高等数学I 
Advanced Mathematics I"
7141222,"高等数学Ⅱ  
Advanced Mathematics II"
11190021,"大学物理A（I）
 College Physics A"
11190022,"大学物理A（II）
 College Physics A（II）"
11191004,"程序设计与应用
Program Design and Application"
11113080,"创新创造能力训练 I
IInnovation Ability Training I"
11111820,"科学教育与科学传播概论
Introduction to Science Education and Science Communication"
9110010,"普通生物学及实验
General Biology and Experiment"
11112082,"创新创造能力训练II
Innovation Ability Training II"
11190170,"大学物理实验A
College Physics Experiment"
12123600,"普通化学及实验
General Chemistry and Experiment"
11111096,"探究科学
Science as Inquiry"
11111981,"青少年图形化编程
Graphical Programming for Teenagers"
11116061,"STEM教育与创客教育
STEM Educationand Maker Education"
11111410,"普通地理学及实验
General Geography and Experiment"
11193023,"科技活动与科技制作
Scientific and Technical Creative Activity"
11116071,"教育机器人
Educational Robot"
11116031,"CAD制图理论与实践
Theory and Practice of CAD Drawing"
11116021,"科普基地科普能力训练
The Science Popularization Ability Training in Science Popularization Base"
11196030,"生活中的科学
Environmental Science in Everyday Life"
11194260,"自然科学概论
Introduction to Natural Science"
11110711,"电子技术基础
Fundamentals of Electronic Technology"
11191052,"科技文献检索与论文写作
Scientific and Technological Literature Retrieval and Paper Writing"
11196021,"科学前沿专题讲座
Scientific Frontier Seminar"
11117901,"科学哲学
Philosophy of Science"
11196051,"建筑模型训练
Building Model Training"
11196071,"航空模型训练
 Aviation Model Training"
11196081,"航海模型训练
Marine Model Training"
11196091,"车辆模型训练
Vehicle Model Training"
11196061,"四轴无人机能力训练 
Four-axis UAV Capability Training"
11116081,"科学研学旅游研究
Science Studies Tourism Research"
25100090,"习近平总书记关于教育的重要论述研究
Reseach on Xi Jinping's  Educational Philosophy"
25100010,"教育学基础
Fundamentals of Pedagogy"
