课程代码,课程名称,达成度
11116060,STEM教育与创客教育,0.8115
25100080,现代教育技术应用,0.8742
11118345,劳动与社会实践Ⅴ,0.8725
30190003,大学英语Ⅲ（普通生）,0.7338
13110129,形势与政策Ⅶ,0.8892
66110019,世界葡萄酒文化与品鉴,0.96
66190020,创造心智与创新训练,0.9
11118373,教育见习Ⅲ,0.859
44110042,大学生职业发展与就业指导之--就业指导,0.8699
99110034,大学生心理健康教育Ⅰ,0.9049
13110126,形势与政策Ⅳ,0.9135
11118341,劳动与社会实践Ⅰ,0.8904
11111410,普通地理学及实验,0.8958
11190800,数字化科学实验教学设计,0.9072
88190001,计算机基础应用Ⅰ,0.8152
66170015,男生穿搭技巧,0.8525
11118372,教育见习Ⅱ,0.8946
09100150,烹饪工艺与名菜赏析,0.8586
66170044,教学媒体设备的操作技能训练,0.9643
77101520,太极拳2,0.8675
66130024,高分子材料与生活,0.834
66110014,老子《道德经》与人生智慧,0.92
17103000,服饰艺术鉴赏,0.9486
77104003,匹克球3,0.8813
3019020A,初级英国文学,0.64
77100807,羽毛球运动训练3,0.87
77103713,手球3,0.7819
77102310,健美操1,0.815
66110065,生活中的教育学,0.9075
66150031,中学美术教学设计,0.9156
3019004A,商务英语口译,0.735
77100505,排球运动训练1,0.9
30191102,公共日语Ⅱ,0.92
77100303,网球3,0.8771
77101903,康复保健3,0.895
77102203,瑜伽3,0.85
66150040,日本茶道文化,0.925
66170021,中医美容,0.7825
66190023,创新创业基础,0.91
77103130,飞镖3,0.9533
66170037,舞龙,0.91
08182600,电路分析基础,0.82
66130098,碳达峰·碳中和-低碳发展,0.86
77100808,羽毛球运动训练4,0.9
44110041,大学生职业发展与就业指导之--职业生涯规划,0.9003
13110124,形势与政策Ⅱ,0.8848
66130021,数学元认知导引,0.895
77103036,田径运动训练2,0.76
3019026A,职业英语演讲基础,0.7411
77100920,毽绳2,0.845
77101503,太极拳3,0.7986
66110025,文学创意写作,0.901
66190027,思维导图与创新思维,0.95
66150041,走进多彩的舞蹈世界,0.98
66130082,数学方法与文化,0.86
66170011,二级MS Office高级应用,0.915
66130061,《百年诺贝尔奖生理学或医学卷》选读,0.912
66190111,食品美食加工与实践,0.95
66130045,传统养生,0.866
66110098,旅行文学,0.89
66172353,三维动画基础,0.935
77100803,羽毛球3,0.835
66152353,体育赛事赏析,0.89
66130089,通过力学看世界,0.895
77101220,武术2,0.7
66130064,动物家族,0.9167
77100810,羽毛球1,0.81
66190100,钳工基础技能实践劳动,0.88
66110096,人工智能与法律,0.88
66170030,信息检索与利用,0.88
77100110,篮球1,0.785
66190008,创业与商业模式创新,0.88
66130012,从宇宙到夸克,0.87
08182500,认识实习,0.95
08182840,模拟电子技术,0.73
66132353,汽车行走与安全的秘笈 ,0.96
13110125,形势与政策Ⅲ,0.9196
11191050,科技英语,0.8059
11190170,大学物理实验A,0.8269
02190003,大学语文,0.7917
11191003,程序设计与应用,0.8382
66130080,统计学基础,0.855
66130053,汽车发动机构造,0.9544
11118344,劳动与社会实践Ⅳ,0.8848
11118342,劳动与社会实践Ⅱ,0.9077
11196021,科学前沿专题讲座,0.8265
17110041,创新创业理论与实务,0.8713
77100603,气排球3,0.7167
11117700,科学实验教学设计及创意科学教具DIY,0.8949
11194260,自然科学概论,0.872
11196070,航空模型训练,0.8742
77100820,羽毛球2,0.8133
66110048,毕业论文写作,0.9478
66130081,混沌与蝴蝶效应,0.8463
13110081,思想道德与法治,0.747
12123600,普通化学及实验,0.7903
66130073,健康管理与慢病防控,0.9444
25100070,三笔字,0.842
66170016,女生穿搭技巧,0.864
77100120,篮球2,0.8167
66190009,逻辑问题解决与程序设计之美 ,0.84
66110045,诗词与人生,0.8975
66130067,大数据分析与应用,0.9525
66150034,中国古典园林文化赏析,0.794
66110093,法国社会与文化,0.86
