学院名称,专业号,专业名称,课程代码,课程名称,100分,99-90,89-80,79-70,69-60,60分以下,最高分,最低分,总人数,考试人数,缺考人数,重修人数,总分,平均分,优秀率,良好率,中等率,及格率,不及格率,开课学院
物理科学与技术学院,1196,科学教育,11116060,STEM教育与创客教育,0,1,49,18,3,0,90,67,71,71,0,0,5762,81.15,1.408%,69.014%,25.352%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,25100080,现代教育技术应用,0,21,46,4,0,0,94,77,71,71,0,0,6207,87.42,29.577%,64.789%,5.634%,100%,0%,教师教育学院
物理科学与技术学院,1196,科学教育,11118345,劳动与社会实践Ⅴ,0,27,44,0,0,0,94,84,71,71,0,0,6195,87.25,38.028%,61.972%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,30190003,大学英语Ⅲ（普通生）,0,0,7,22,11,0,84,61,40,40,0,0,2935,73.38,0%,17.5%,55%,100%,0%,大学外语教学部
物理科学与技术学院,1196,科学教育,13110129,形势与政策Ⅶ,0,31,38,2,0,0,98,73,71,71,0,0,6313,88.92,43.662%,53.521%,2.817%,100%,0%,马克思主义学院
物理科学与技术学院,1196,科学教育,66110019,世界葡萄酒文化与品鉴,1,2,0,0,0,0,100,93,3,3,0,0,288,96,100%,0%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,66190020,创造心智与创新训练,0,2,4,0,0,0,93,89,6,6,0,0,540,90,33.333%,66.667%,0%,100%,0%,通识教育科
物理科学与技术学院,1196,科学教育,11118373,教育见习Ⅲ,0,2,69,0,0,0,91,83,71,71,0,0,6099,85.9,2.817%,97.183%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,44110042,大学生职业发展与就业指导之--就业指导,0,20,47,4,0,0,98,77,71,71,0,0,6176,86.99,28.169%,66.197%,5.634%,100%,0%,招生与就业处
物理科学与技术学院,1196,科学教育,99110034,大学生心理健康教育Ⅰ,0,52,19,0,0,0,95,88,71,71,0,0,6425,90.49,73.239%,26.761%,0%,100%,0%,学生处（与党委学生工作部合署、含校友工作办公室）
物理科学与技术学院,1196,科学教育,13110126,形势与政策Ⅳ,5,51,5,10,0,0,100,70,71,71,0,0,6486,91.35,78.873%,7.042%,14.085%,100%,0%,马克思主义学院
物理科学与技术学院,1196,科学教育,11118341,劳动与社会实践Ⅰ,0,31,38,1,0,0,96,75,70,70,0,0,6233,89.04,44.286%,54.286%,1.429%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,11111410,普通地理学及实验,0,43,27,1,0,0,97,71,71,71,0,0,6360,89.58,60.563%,38.028%,1.408%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,11190800,数字化科学实验教学设计,0,48,23,0,0,0,94,87,71,71,0,0,6441,90.72,67.606%,32.394%,0%,100%,0%,物理科学与技术学院
物理科学与技术学院,1196,科学教育,88190001,计算机基础应用Ⅰ,0,6,43,16,6,0,96,60,71,71,0,0,5788,81.52,8.451%,60.563%,22.535%,100%,0%,公共计算机教学部
物理科学与技术学院,1196,科学教育,66170015,男生穿搭技巧,0,2,1,0,1,0,98,64,4,4,0,0,341,85.25,50%,25%,0%,100%,0%,通识教育科
