课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2
11110500,光学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11110300,力学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11111011,热学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
25100070,三笔字,L,L,,,L,,,,,H,,,,,L,,,,
11115000,电工学,L,L,,,L,H,H,M,L,,,,,,L,,L,L,
11111020,电磁学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
55110052,军事技能,H,H,M,,L,,,,,,,M,M,L,L,,,M,M
55110051,军事理论,H,H,M,,L,,,,,,,M,M,L,L,,,,
66100001,劳动教育,L,H,L,M,M,,,,,,,,,,L,,,M,L
2190003,大学语文,L,L,,,H,,,,,,,,,,M,,M,,
25100060,教师语言,L,L,,,L,,,,,H,,,,H,L,,,,M
100010,教育实习,M,M,M,M,M,,,,L,H,M,H,H,H,H,M,H,M,H
11110070,毕业论文,L,L,,,L,M,M,H,M,M,M,,,L,L,,H,,L
11110910,理论力学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11110810,电动力学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11191050,科技英语,L,L,,,L,M,,L,,,,,,,L,M,,,
11111110,量子力学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11111041,原子物理学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
11110610,固体物理学,L,L,,,L,H,H,M,L,,,,,,L,M,,,
30190001,大学英语I,L,L,,,L,,,,,M,,,,,L,M,,,
25100010,教育学基础,M,M,M,M,M,,,,H,H,H,M,M,H,H,,,,L
25100020,教育心理学,M,L,L,M,L,,,,,,,,H,H,H,,,L,H
11118371,教育见习I,M,M,M,M,M,,,,L,H,M,H,H,H,H,M,M,L,L
11110200,物理学导论,L,L,,,L,M,L,L,,,,,,,L,H,,,
7190140,高等数学I,L,L,,,L,M,H,M,,,,,,,L,,,,
17110045,创新创业实践,L,L,,,L,M,,M,,,,,,,L,M,,H,H
30190002,大学英语II,L,L,,,L,,,,,M,,,,,L,M,,,
30190004,大学英语IV,L,L,,,L,,,,,M,,,,,L,M,,,
13110123,形势与政策I,H,H,M,M,M,,,,,,L,L,L,,L,L,,,
13110127,形势与政策V,H,H,M,M,M,,,,,,L,L,L,,L,L,,,
25100030,教师职业道德,H,H,M,H,L,,,,,,,,L,,L,,,,
25100040,教育政策法规,M,H,H,M,L,,,,,,M,,M,,L,,,,
11118372,教育见习II,M,M,M,M,M,,,,L,H,M,H,H,H,H,M,M,L,L
11118374,教育见习IV,M,M,M,M,M,,,,L,H,M,H,H,H,H,M,M,L,L
11110010,数学物理方法,L,L,,,L,M,H,M,,,,,,,L,,,,
11110710,电子技术基础,L,L,,,L,H,H,M,L,,,,,,L,M,,,
