课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,6-1,6-2,7-1,7-2,8-1,8-2
25100070,三笔字,L,L,,,L,,,,,H,,,,,L,,,,
55110052,军事技能,H,H,M,,L,,,,,,,M,M,L,L,,,M,M
55110051,军事理论,H,H,M,L,L,,,,,,,L,M,L,L,,,L,
13110132,劳动教育,L,H,L,M,L,,,,,,,,,,L,,,M,L
30190001,大学英语I,L,L,,,L,,,,,M,,,,,L,M,,,
30190002,大学英语II,L,L,,,L,,,,,M,,,,,L,M,,,
30190003,大学英语III,L,L,,,L,,,,,M,,,,,L,M,,,
30190004,大学英语IV,L,L,,,L,,,,,M,,,,,L,M,,,
2190003,大学语文,L,L,,,H,,,,,,,,,,M,,M,,
11111990,探究科学,L,L,,,,H,H,M,,L,L,,,,L,M,,H,
11111980,探究科技,L,L,,,,H,H,M,,L,L,,,,L,M,,M,H
25100060,教师语言,L,L,,,L,,,,M,H,,L,M,H,L,,,,M
100010,教育实习,H,M,M,M,H,M,H,M,L,H,M,H,H,H,H,M,H,H,M
11118371,教育见习I,M,M,M,M,M,M,M,M,L,H,M,H,H,H,H,M,M,L,L
11118372,教育见习II,M,M,M,M,M,M,M,M,L,H,M,H,H,H,H,M,M,L,L
11118373,教育见习III,M,M,M,M,M,M,M,M,L,H,M,H,H,H,H,M,M,L,L
11110070,毕业论文,L,H,,,L,M,M,H,M,H,M,,,L,H,,H,,L
11191050,科技英语,L,L,,,L,L,L,,,,H,,,,L,H,H,M,
7190120,高等数学I,L,L,,,L,H,H,M,,,,,,,L,,,,
7190130,高等数学II,L,L,,,L,H,H,M,,,,,,,L,,,,
11190021,大学物理(A)I,L,L,,,L,H,H,M,,,L,,,,L,,,,
11190022,大学物理(A)II,L,L,,,L,H,H,M,,,L,,,,L,,,,
13110123,形势与政策I,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110124,形势与政策II,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110125,形势与政策III,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110126,形势与政策IV,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110127,形势与政策V,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110128,形势与政策VI,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110129,形势与政策VII,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
13110130,形势与政策VIII,H,H,M,L,L,,,,L,,,L,,,L,L,M,,
25100011,教育学基础,L,M,M,M,M,,,,H,H,H,M,M,H,H,,,,L
