课程编码,课程名称,1-1,1-2,1-3,2-1,2-2,2-3,3-1,3-2,3-3,4-1,4-2,4-3,5-1,5-2,5-3,6-1,6-2,6-3,7-1,7-2,7-3,8-1,8-2,8-3
25100070,三笔字,L,L,,,L,,,,,,H,,,,,,L,,,,L,,,
55110052,军事技能,H,H,M,,L,,,,,,,,M,M,,L,L,,,,,M,M,
55110051,军事理论,H,H,M,L,L,L,,,,,,,L,M,M,L,L,L,,,,L,,
100040,劳动实践,L,H,,,L,,,,,,,,,,L,,L,,,,,,M,L
13110134,劳动教育,L,H,L,M,L,L,,,,,,,,,L,,L,M,,,,M,L,
40190001,大学英语I,L,L,,,L,,,,,,M,,,,,,L,,M,,,,,
40190002,大学英语II,L,L,,,L,,,,,,M,,,,,,L,,M,,,,,
40190003,大学英语III,L,L,,,L,,,,,,M,,,,,,L,,M,,,,,
40190004,大学英语IV,L,L,,,L,,,,,,M,,,,,,L,,M,,,,,
2190003,大学语文,L,L,,,H,,,,,,,,,,,,M,,,M,,,,
44110044,就业指导,L,M,,H,L,,,,,,,,,,,,L,,H,,,L,,
11111096,探究科学,L,L,,,,,H,H,M,,L,L,,,,,L,,M,,,H,,
25100060,教师语言,L,L,,,L,,,,,M,H,,L,M,L,H,L,,,,L,,M,M
100010,教育实习,H,M,M,M,H,M,M,H,M,L,H,M,H,H,H,H,H,,M,H,M,H,L,L
100030,教育研习,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
100021,教育见习I,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
100022,教育见习II,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
100023,教育见习III,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
100024,教育见习IV,M,M,M,M,M,,M,M,M,L,H,M,H,H,H,H,H,,M,M,H,L,L,H
100029,毕业论文,L,H,,,L,,M,M,H,M,H,M,,,,L,H,,,H,,,L,
11117901,科学哲学,L,L,,,L,,L,L,,M,H,L,,,,,L,,M,,,,,
7141212,高等数学I,L,L,,,L,,H,H,M,,,L,,,,,L,,,,,,,
7141222,高等数学II,L,L,,,L,,H,H,M,,,L,,,,,L,,,,,,,
